ID,system,site,sample,month,year,specie,biomass,length,width,season,class,order,habitat,guild,P,MO,CE,Ph,DAP,HR,Ca,Mg,NA,K,N,ARA,RESP,RM_0-5,RM_5=10
1,N,triangulo,centro,agosto,2008,linyphiidae,"1,828,524,234","18,448,236","6,367,738",I,macrofauna,Araneae,hemiedaphic,predator,"11,57","2,23","1,8","6,87","1,12","0,18","6,5","1,55",1,"0,97","0,35","12,871","177,723,378","5,7","9,6"
2,N,triangulo,centro,agosto,2008,oripodoidea,"4,231,268,573","4,071,787","249,771",I,acari,oribatida,hemiedaphic,detritivore,"11,57","2,23","1,8","6,87","1,12","0,18","6,5","1,55",1,"0,97","0,35","12,871","177,723,378","5,7","9,6"
3,N,triangulo,centro,agosto,2008,oripodoidea,"5,607,165,356","4,405,512","2,787,997",I,acari,oribatida,hemiedaphic,detritivore,"11,57","2,23","1,8","6,87","1,12","0,18","6,5","1,55",1,"0,97","0,35","12,871","177,723,378","5,7","9,6"
4,N,triangulo,centro,agosto,2008,oripodoidea,"1,920,486,347","3,280,422","1,824,331",I,acari,oribatida,hemiedaphic,detritivore,"11,57","2,23","1,8","6,87","1,12","0,18","6,5","1,55",1,"0,97","0,35","12,871","177,723,378","5,7","9,6"
5,N,triangulo,centro,agosto,2008,oripodoidea,"209,474,036","3,224,903","1,979,811",I,acari,oribatida,hemiedaphic,detritivore,"11,57","2,23","1,8","6,87","1,12","0,18","6,5","1,55",1,"0,97","0,35","12,871","177,723,378","5,7","9,6"
6,N,triangulo,centro,agosto,2008,oripodoidea,"2,181,292,353","327,52","2,001,733",I,acari,oribatida,hemiedaphic,detritivore,"11,57","2,23","1,8","6,87","1,12","0,18","6,5","1,55",1,"0,97","0,35","12,871","177,723,378","5,7","9,6"
7,N,triangulo,centro,agosto,2008,oripodoidea,"2,069,670,116","3,079,393","2,070,576",I,acari,oribatida,hemiedaphic,detritivore,"11,57","2,23","1,8","6,87","1,12","0,18","6,5","1,55",1,"0,97","0,35","12,871","177,723,378","5,7","9,6"
8,N,triangulo,centro,agosto,2008,oppioidea,"417,736,237","2,136,205","100,796",I,acari,oribatida,euedaphic,microphytophages,"11,57","2,23","1,8","6,87","1,12","0,18","6,5","1,55",1,"0,97","0,35","12,871","177,723,378","5,7","9,6"
9,N,triangulo,centro,agosto,2008,oppioidea,"785,183,346","253,167","1,299,724",I,acari,oribatida,euedaphic,microphytophages,"11,57","2,23","1,8","6,87","1,12","0,18","6,5","1,55",1,"0,97","0,35","12,871","177,723,378","5,7","9,6"
10,N,triangulo,centro,agosto,2008,oppioidea,"1,088,492,629","2,824,022","1,446,294",I,acari,oribatida,euedaphic,microphytophages,"11,57","2,23","1,8","6,87","1,12","0,18","6,5","1,55",1,"0,97","0,35","12,871","177,723,378","5,7","9,6"
11,N,triangulo,centro,agosto,2008,oppioidea,"4,577,495,438","4,462,876","2,376,027",I,acari,oribatida,euedaphic,microphytophages,"11,57","2,23","1,8","6,87","1,12","0,18","6,5","1,55",1,"0,97","0,35","12,871","177,723,378","5,7","9,6"
12,N,triangulo,centro,agosto,2008,oppioidea,"2,487,904,791","348,815","2,044,324",I,acari,oribatida,euedaphic,microphytophages,"11,57","2,23","1,8","6,87","1,12","0,18","6,5","1,55",1,"0,97","0,35","12,871","177,723,378","5,7","9,6"
